um.driver: unified_memory
um.host_direct.copy_bytes_issued_total: 0
um.host_direct.enqueues_copy: 0
um.host_direct.drains_per_round: 2
um.host_direct.retouch_round: 4
um.host_direct.retouch_write_ns: 0
um.host_direct.retouch_publish_ns: 0
um.host_direct.retouch_total_ns: 0
um.host_direct.checksum: 0
um.host_direct.expected: -275014048
um.out_host_direct.status: wrong
um.out_host_direct.detail: device checksum disagreed with the host reference
um.out_host_direct.comparable: 0
um.out_host_direct.input_route: copy_staged
um.out_host_direct.out_route: host_direct
um.out_host_direct.mode: resident
um.out_host_direct.payload_bytes: 1073741824
um.out_host_direct.alloc_ns: 105000
um.out_host_direct.round0_write_ns: 336974000
um.out_host_direct.round0_publish_ns: 37000
um.out_host_direct.round0_total_ns: 582846000
um.out_host_direct.write_ns: 0
um.out_host_direct.publish_ns: 0
um.out_host_direct.kernel_ns: 0
um.out_host_direct.sync_ns: 0
um.out_host_direct.readback_ns: 0
um.out_host_direct.contend_ns: 0
um.out_host_direct.round_mean_ns: 0
um.out_host_direct.round_min_ns: 0
um.out_host_direct.host_alloc_bytes: 1073741829
um.out_host_direct.device_alloc_bytes: 1073741828
um.out_host_direct.allocated_bytes: 2147483657
um.out_host_direct.copy_bytes_issued_total: 1073741824
um.out_host_direct.enqueues_copy: 1
um.out_host_direct.drains_per_round: 1
um.out_host_direct.retouch_round: 4
um.out_host_direct.retouch_write_ns: 0
um.out_host_direct.retouch_publish_ns: 0
um.out_host_direct.retouch_total_ns: 0
um.out_host_direct.checksum: 0
um.out_host_direct.expected: -275014048
um.wrapped_host_buffer.status: not_probed
um.wrapped_host_buffer.detail: non-owning DeviceBuffer over a host allocation is not compiled in this driver; see docs/APPLE_UNIFIED_MEMORY.md Route 5
um.out_wrapped_host_buffer.status: not_probed
um.out_wrapped_host_buffer.detail: kernel accumulating into a non-owning DeviceBuffer over a host allocation is not compiled in this driver
um.ladder.enabled: 0
um.marker.end_ns: 434158636998000
